Time,PYR,T,V,I,P
2023-11-27 21:40:01,0.0,13.19,1.98,9.207,18.25
2023-11-27 21:40:22,0.0,13.19,2.0,9.158,18.34
2023-11-27 21:40:43,0.0,13.19,1.84,9.429,17.37
2023-11-27 21:41:03,0.0,12.74,1.86,9.355,17.42
2023-11-27 21:41:24,0.0,12.74,1.82,9.453,17.22
2023-11-27 21:41:44,0.0,13.19,1.82,9.429,17.18
2023-11-27 21:42:05,0.0,13.19,2.02,9.084,18.37
2023-11-27 21:42:25,0.0,13.19,1.86,9.355,17.42
2023-11-27 21:42:46,0.0,13.19,1.9,9.281,17.65
2023-11-27 21:43:06,0.0,13.19,1.96,9.158,17.97
2023-11-27 21:43:27,0.0,13.19,1.82,9.429,17.18
2023-11-27 21:43:47,0.0,13.19,2.02,9.084,18.37
2023-11-27 21:46:23,0.0,13.19,2.0,9.134,18.29
2023-11-27 21:47:29,0.0,13.19,1.92,9.232,17.75
2023-11-27 21:48:34,0.0,13.19,1.96,9.232,18.12
2023-11-27 21:48:55,0.0,12.74,2.0,9.183,18.39
2023-11-27 21:50:00,0.0,13.19,1.84,9.429,17.37
2023-11-27 21:50:21,0.0,13.19,1.92,9.281,17.84
2023-11-27 21:50:41,0.0,12.74,2.0,9.158,18.34
2023-11-27 21:51:02,0.0,12.74,1.94,9.207,17.88
2023-11-27 21:51:22,0.0,13.19,1.9,9.281,17.65
2023-11-27 21:51:43,0.0,13.19,1.82,9.429,17.18
2023-11-27 21:52:04,0.0,13.19,1.84,9.404,17.32
2023-11-27 21:52:24,0.0,13.19,2.02,9.084,18.37
2023-11-27 21:52:45,0.0,13.19,1.84,9.38,17.28
2023-11-27 21:53:05,0.0,13.19,1.84,9.404,17.32
2023-11-27 21:56:16,0.0,13.19,1.94,9.207,17.88
2023-11-27 21:56:36,0.0,13.19,1.88,9.38,17.65
2023-11-27 21:56:57,0.0,13.19,2.0,9.183,18.39
2023-11-27 21:57:18,0.0,13.19,2.0,9.158,18.34
2023-11-27 21:58:23,0.0,13.19,1.9,9.33,17.75
2023-11-27 21:58:44,0.0,12.74,2.02,9.109,18.42
2023-11-27 21:59:49,0.0,13.19,1.96,9.232,18.12
2023-11-27 22:00:55,0.0,13.19,1.82,9.453,17.22
2023-11-27 22:01:15,0.0,13.19,1.98,9.207,18.25
2023-11-27 22:01:36,0.0,13.19,2.02,9.084,18.37
2023-11-27 22:01:56,0.0,13.19,1.84,9.404,17.32
2023-11-27 22:02:17,0.0,13.19,1.9,9.281,17.65
2023-11-27 22:02:38,0.0,13.19,1.82,9.429,17.18
2023-11-27 22:02:58,0.0,13.19,1.9,9.33,17.75
2023-11-27 22:03:19,0.0,13.19,1.88,9.306,17.51
2023-11-27 22:03:39,0.0,12.74,2.02,9.084,18.37
2023-11-27 22:04:00,0.0,13.19,1.84,9.429,17.37
2023-11-27 22:04:20,0.0,13.19,1.98,9.134,18.11
2023-11-27 22:04:41,0.0,13.19,1.82,9.453,17.22
2023-11-27 22:05:01,0.0,13.19,1.94,9.183,17.84
2023-11-27 22:05:22,0.0,13.19,1.82,9.429,17.18
2023-11-27 22:05:42,0.0,13.19,1.84,9.404,17.32
2023-11-27 22:06:03,0.0,13.19,1.94,9.257,17.98
2023-11-27 22:06:24,0.0,13.19,1.98,9.158,18.15
2023-11-27 22:06:44,0.0,13.19,1.82,9.453,17.22
2023-11-27 22:07:05,0.0,13.19,1.82,9.429,17.18
2023-11-27 22:07:25,0.0,13.19,1.84,9.404,17.32
2023-11-27 22:07:46,0.0,12.74,1.96,9.207,18.07
2023-11-27 22:08:06,0.0,13.19,1.98,9.134,18.11
2023-11-27 22:08:27,0.0,13.19,1.96,9.158,17.97
2023-11-27 22:08:47,0.0,13.19,2.02,9.084,18.37
2023-11-27 22:09:08,0.0,13.19,1.98,9.207,18.25
2023-11-27 22:09:28,0.0,13.19,1.96,9.183,18.02
2023-11-27 22:09:49,0.0,13.19,1.82,9.453,17.22
2023-11-27 22:10:09,0.0,13.19,1.98,9.158,18.15
2023-11-27 22:10:30,0.0,13.19,2.02,9.084,18.37
2023-11-27 22:10:51,0.0,13.19,1.9,9.281,17.65
2023-11-27 22:11:11,0.0,13.19,1.92,9.257,17.79
2023-11-27 22:11:32,0.0,13.19,2.02,9.084,18.37
2023-11-27 22:11:52,0.0,13.19,2.02,9.084,18.37
2023-11-27 22:12:13,0.0,12.74,1.98,9.183,18.2
2023-11-27 22:12:33,0.0,13.19,1.92,9.281,17.84
2023-11-27 22:12:54,0.0,13.19,1.96,9.232,18.12
2023-11-27 22:13:14,0.0,12.74,2.0,9.134,18.29
2023-11-27 22:13:35,0.0,12.74,1.9,9.281,17.65
2023-11-27 22:14:36,0.0,13.19,1.94,9.257,17.98
2023-11-27 22:15:16,0.0,12.74,1.84,9.429,17.37
2023-11-27 22:15:37,0.0,12.74,1.96,9.232,18.12
2023-11-27 22:16:17,0.0,13.19,1.98,9.134,18.11
2023-11-27 22:16:38,0.0,13.19,2.0,9.134,18.29
2023-11-27 22:17:58,0.0,13.19,2.02,9.109,18.42
2023-11-27 22:18:19,0.0,13.19,1.98,9.134,18.11
2023-11-27 22:19:40,0.0,13.19,2.02,9.109,18.42
2023-11-27 22:43:46,0.0,12.74,1.92,9.281,17.84
2023-11-27 23:31:34,0.0,12.74,1.9,9.33,17.75
2023-11-27 23:36:55,0.0,12.74,1.82,9.404,17.14
2023-11-27 23:39:19,0.0,12.74,1.82,9.429,17.18
2023-11-28 00:00:42,0.0,12.74,1.84,9.38,17.28
2023-11-28 00:54:11,0.0,13.19,1.84,9.429,17.37
2023-11-28 00:54:31,0.0,12.74,2.04,9.06,18.5
2023-11-28 00:54:55,0.0,13.19,2.0,9.158,18.34
2023-11-28 00:55:15,0.0,12.74,2.02,9.084,18.37
2023-11-28 00:56:36,0.0,12.74,1.96,9.207,18.07
2023-11-28 00:57:57,0.0,12.74,2.04,9.084,18.55
2023-11-28 00:58:17,0.0,12.74,2.0,9.134,18.29
2023-11-28 00:59:38,0.0,12.74,1.86,9.404,17.51
2023-11-28 00:59:59,0.0,12.74,1.88,9.306,17.51
2023-11-28 01:02:19,0.0,13.19,1.88,9.38,17.65
2023-11-28 01:16:41,0.0,12.74,1.84,9.404,17.32
2023-11-28 02:19:11,0.0,12.74,1.84,9.429,17.37
2023-11-28 02:19:32,0.0,12.74,1.82,9.429,17.18
2023-11-28 02:19:55,0.0,12.74,2.0,9.134,18.29
2023-11-28 02:20:16,0.0,12.74,1.96,9.183,18.02
2023-11-28 02:20:37,0.0,12.74,1.84,9.404,17.32
2023-11-28 02:20:57,0.0,12.74,1.84,9.429,17.37
2023-11-28 02:21:18,0.0,12.74,1.84,9.38,17.28
2023-11-28 02:21:38,0.0,12.74,1.84,9.404,17.32
2023-11-28 02:21:59,0.0,12.74,1.92,9.257,17.79
2023-11-28 02:22:19,0.0,12.74,2.04,9.06,18.5
2023-11-28 02:22:40,0.0,12.74,2.04,9.06,18.5
2023-11-28 02:23:00,0.0,12.74,1.82,9.429,17.18
2023-11-28 02:23:21,0.0,12.74,1.84,9.429,17.37
2023-11-28 02:23:41,0.0,12.74,1.92,9.232,17.75
2023-11-28 02:24:02,0.0,12.74,1.98,9.183,18.2
2023-11-28 02:24:22,0.0,12.74,2.02,9.084,18.37
2023-11-28 02:24:43,0.0,12.74,1.84,9.404,17.32
2023-11-28 02:25:04,0.0,12.74,2.02,9.084,18.37
2023-11-28 02:25:24,0.0,12.74,1.88,9.33,17.56
2023-11-28 02:25:45,0.0,12.74,1.9,9.33,17.75
2023-11-28 02:26:05,0.0,12.74,1.98,9.183,18.2
2023-11-28 02:26:26,0.0,12.74,1.94,9.232,17.93
2023-11-28 02:26:46,0.0,12.74,1.88,9.306,17.51
2023-11-28 02:27:07,0.0,12.74,2.0,9.109,18.24
2023-11-28 02:27:27,0.0,12.74,1.84,9.404,17.32
2023-11-28 02:27:48,0.0,12.74,2.02,9.109,18.42
2023-11-28 02:28:08,0.0,12.74,2.02,9.084,18.37
2023-11-28 02:28:29,0.0,13.19,1.88,9.33,17.56
2023-11-28 02:28:50,0.0,12.74,2.02,9.084,18.37
2023-11-28 02:29:10,0.0,12.74,1.88,9.355,17.61
2023-11-28 02:29:31,0.0,12.74,2.02,9.134,18.47
2023-11-28 02:29:51,0.0,12.74,2.04,9.06,18.5
2023-11-28 02:30:12,0.0,12.74,1.84,9.429,17.37
2023-11-28 02:30:32,0.0,12.74,1.84,9.404,17.32
2023-11-28 02:30:53,0.0,12.74,1.86,9.404,17.51
2023-11-28 02:31:13,0.0,12.74,1.96,9.158,17.97
2023-11-28 02:31:34,0.0,12.74,1.84,9.404,17.32
2023-11-28 02:31:54,0.0,12.74,1.94,9.257,17.98
2023-11-28 02:32:15,0.0,12.74,1.88,9.33,17.56
2023-11-28 02:33:56,0.0,12.74,2.02,9.084,18.37
2023-11-28 02:51:01,0.0,12.74,1.9,9.281,17.65
2023-11-28 03:02:23,0.0,12.74,2.04,9.06,18.5
2023-11-28 03:08:44,0.0,12.74,1.84,9.429,17.37
2023-11-28 03:17:08,0.0,12.74,1.94,9.232,17.93
2023-11-28 03:45:55,0.0,12.74,1.96,9.207,18.07
2023-11-28 03:47:18,0.0,12.74,2.04,9.06,18.5
2023-11-28 04:03:01,0.0,12.28,1.84,9.404,17.32
2023-11-28 04:18:06,0.0,12.28,2.02,9.06,18.32
2023-11-28 04:29:47,0.0,12.28,2.04,9.084,18.55
2023-11-28 04:30:31,0.0,12.74,1.86,9.38,17.47
2023-11-28 04:30:51,0.0,12.74,1.9,9.257,17.61
2023-11-28 04:32:32,0.0,12.28,1.86,9.355,17.42
2023-11-28 04:32:53,0.0,12.74,1.86,9.38,17.47
2023-11-28 04:34:33,0.0,12.74,1.84,9.404,17.32
